product_category_name_english,gmv_bf,share_bf,qty,share_nm,gmv_nm,share_diff
agro_industry_and_commerce,10549.6,2.65,11,0.57,3382.89,2.08
health_beauty,36161.79,9.09,238,7.14,42112.61,1.95
bed_bath_table,38807.76,9.75,430,8.33,49149.87,1.42
computers_accessories,30606.61,7.69,198,6.62,39069.71,1.07
musical_instruments,8706.78,2.19,19,1.2,7070.11,0.99
perfumery,15083.91,3.79,130,2.8,16528.22,0.99
furniture_decor,27052.78,6.8,351,5.94,35038.49,0.86
telephony,10891.61,2.74,159,2.58,15226.02,0.16
housewares,13951.02,3.51,167,3.38,19921.4,0.13
auto,13557.26,3.41,103,3.59,21179.23,-0.18
toys,24683.71,6.2,204,6.43,37927.55,-0.23
watches_gifts,37833.0,9.51,163,9.74,57459.34,-0.23
garden_tools,16656.64,4.19,268,4.68,27618.54,-0.5
cool_stuff,19107.22,4.8,91,6.2,36589.44,-1.4
sports_leisure,21831.52,5.49,222,6.93,40854.72,-1.44
