date,orders,gmv,is_bf
2017-11-04,106.0,22074.22,0
2017-11-05,137.0,19815.72,0
2017-11-06,182.0,32103.93,0
2017-11-07,154.0,23396.09,0
2017-11-08,169.0,22458.68,0
2017-11-09,182.0,28045.13,0
2017-11-10,159.0,22010.46,0
2017-11-11,152.0,26054.420000000002,0
2017-11-12,170.0,25953.39,0
2017-11-13,197.0,28630.29,0
2017-11-14,184.0,30755.36,0
2017-11-15,176.0,26278.57,0
2017-11-16,219.0,32236.16,0
2017-11-17,185.0,33589.38,0
2017-11-18,141.0,26543.38,0
2017-11-19,157.0,23273.6,0
2017-11-20,219.0,49072.99,0
2017-11-21,222.0,38506.59,0
2017-11-22,190.0,28780.670000000002,0
2017-11-23,268.0,49748.15,0
2017-11-24,1147.0,175178.46,1
2017-11-25,487.0,70683.26,0
2017-11-26,382.0,52162.53,0
2017-11-27,395.0,55887.39,0
2017-11-28,372.0,55990.3,0
2017-11-29,314.0,46164.91,0
2017-11-30,260.0,36079.22,0
2017-12-01,267.0,44851.78,0
2017-12-02,212.0,35241.12,0
2017-12-03,227.0,33702.97,0
2017-12-04,322.0,51721.88,0
2017-12-05,269.0,39049.39,0
2017-12-06,269.0,44917.87,0
2017-12-07,223.0,32437.08,0
2017-12-08,210.0,33204.45,0
2017-12-09,154.0,23321.18,0
2017-12-10,184.0,27627.43,0
2017-12-11,262.0,38433.88,0
2017-12-12,251.0,37772.83,0
2017-12-13,215.0,33706.35,0
2017-12-14,195.0,29203.3,0
2017-12-15,185.0,30506.85,0
