date,date_id,year,quarter,month,month_name,year_month,day,weekday,weekday_name,is_weekend,is_complete_month
2016-01-01,20160101,2016,1,1,Jan,2016-01,1,5,Fri,False,False
2016-01-02,20160102,2016,1,1,Jan,2016-01,2,6,Sat,True,False
2016-01-03,20160103,2016,1,1,Jan,2016-01,3,7,Sun,True,False
2016-01-04,20160104,2016,1,1,Jan,2016-01,4,1,Mon,False,False
2016-01-05,20160105,2016,1,1,Jan,2016-01,5,2,Tue,False,False
2016-01-06,20160106,2016,1,1,Jan,2016-01,6,3,Wed,False,False
2016-01-07,20160107,2016,1,1,Jan,2016-01,7,4,Thu,False,False
2016-01-08,20160108,2016,1,1,Jan,2016-01,8,5,Fri,False,False
2016-01-09,20160109,2016,1,1,Jan,2016-01,9,6,Sat,True,False
2016-01-10,20160110,2016,1,1,Jan,2016-01,10,7,Sun,True,False
2016-01-11,20160111,2016,1,1,Jan,2016-01,11,1,Mon,False,False
2016-01-12,20160112,2016,1,1,Jan,2016-01,12,2,Tue,False,False
2016-01-13,20160113,2016,1,1,Jan,2016-01,13,3,Wed,False,False
2016-01-14,20160114,2016,1,1,Jan,2016-01,14,4,Thu,False,False
2016-01-15,20160115,2016,1,1,Jan,2016-01,15,5,Fri,False,False
2016-01-16,20160116,2016,1,1,Jan,2016-01,16,6,Sat,True,False
2016-01-17,20160117,2016,1,1,Jan,2016-01,17,7,Sun,True,False
2016-01-18,20160118,2016,1,1,Jan,2016-01,18,1,Mon,False,False
2016-01-19,20160119,2016,1,1,Jan,2016-01,19,2,Tue,False,False
2016-01-20,20160120,2016,1,1,Jan,2016-01,20,3,Wed,False,False
2016-01-21,20160121,2016,1,1,Jan,2016-01,21,4,Thu,False,False
2016-01-22,20160122,2016,1,1,Jan,2016-01,22,5,Fri,False,False
2016-01-23,20160123,2016,1,1,Jan,2016-01,23,6,Sat,True,False
2016-01-24,20160124,2016,1,1,Jan,2016-01,24,7,Sun,True,False
2016-01-25,20160125,2016,1,1,Jan,2016-01,25,1,Mon,False,False
2016-01-26,20160126,2016,1,1,Jan,2016-01,26,2,Tue,False,False
2016-01-27,20160127,2016,1,1,Jan,2016-01,27,3,Wed,False,False
2016-01-28,20160128,2016,1,1,Jan,2016-01,28,4,Thu,False,False
2016-01-29,20160129,2016,1,1,Jan,2016-01,29,5,Fri,False,False
2016-01-30,20160130,2016,1,1,Jan,2016-01,30,6,Sat,True,False
2016-01-31,20160131,2016,1,1,Jan,2016-01,31,7,Sun,True,False
2016-02-01,20160201,2016,1,2,Feb,2016-02,1,1,Mon,False,False
2016-02-02,20160202,2016,1,2,Feb,2016-02,2,2,Tue,False,False
2016-02-03,20160203,2016,1,2,Feb,2016-02,3,3,Wed,False,False
