date,name,year,is_black_friday,is_gift_festival,is_public_holiday
2016-10-12,儿童节/圣母显现日,2016,False,True,False
2016-11-02,亡人节,2016,False,False,True
2016-11-15,共和国宣言日,2016,False,False,True
2017-01-01,元旦,2017,False,False,True
2017-02-28,狂欢节,2017,False,False,True
2017-04-14,耶稣受难日,2017,False,False,True
2017-04-21,蒂拉登特斯日,2017,False,False,True
2017-05-01,劳动节,2017,False,False,True
2017-05-14,母亲节,2017,False,True,False
2017-06-15,圣体节,2017,False,False,True
2017-09-07,独立日,2017,False,False,True
2017-10-12,儿童节/圣母显现日,2017,False,True,False
2017-11-02,亡人节,2017,False,False,True
2017-11-15,共和国宣言日,2017,False,False,True
2017-11-24,黑色星期五,2017,True,False,False
2017-12-25,圣诞节,2017,False,True,False
2018-01-01,元旦,2018,False,False,True
2018-02-13,狂欢节,2018,False,False,True
2018-03-30,耶稣受难日,2018,False,False,True
2018-04-21,蒂拉登特斯日,2018,False,False,True
2018-05-01,劳动节,2018,False,False,True
2018-05-13,母亲节,2018,False,True,False
2018-05-31,圣体节,2018,False,False,True
2018-08-12,父亲节,2018,False,True,False
2018-09-07,独立日,2018,False,False,True
2018-10-12,儿童节/圣母显现日,2018,False,True,False
