name,date,baseline_orders,month_all_orders,pre7_orders,day_orders,post7_orders,uplift_pre,uplift_day,uplift_post,baseline_gmv,day_gmv,uplift_gmv_day,base_days,base_src
黑色星期五,2017-11-24,140.0,243.0,197.4,1147.0,353.9,41.0,719.3,152.8,22029.0,175178.0,695.2,6,节前45-8日非窗口
共和国宣言日,2017-11-15,145.3,243.0,173.3,176.0,190.4,19.3,21.1,31.1,23233.0,26279.0,13.1,10,节前45-8日非窗口
父亲节,2018-08-12,165.1,219.0,287.0,191.0,262.7,73.8,15.7,59.1,24266.0,34260.0,41.2,14,同月非窗口日
劳动节,2018-05-01,230.8,217.7,228.6,252.0,276.1,-1.0,9.2,19.7,38160.0,37911.0,-0.7,13,节前45-8日非窗口
劳动节,2017-05-01,112.7,114.4,92.0,111.0,108.4,-18.4,-1.5,-3.8,18794.0,13923.0,-25.9,10,同月非窗口日
母亲节,2017-05-14,112.7,114.4,106.7,108.0,130.9,-5.3,-4.2,16.1,18794.0,16510.0,-12.2,10,同月非窗口日
母亲节,2018-05-13,214.6,217.7,277.7,205.0,257.9,29.4,-4.5,20.2,37424.0,36076.0,-3.6,7,节前45-8日非窗口
圣体节,2017-06-15,108.5,104.5,113.1,103.0,87.4,4.2,-5.1,-19.4,16840.0,14141.0,-16.0,15,同月非窗口日
儿童节/圣母显现日,2017-10-12,145.3,144.5,142.7,136.0,158.9,-1.8,-6.4,9.3,23233.0,21725.0,-6.5,10,同月非窗口日
狂欢节,2018-02-13,242.3,234.1,212.9,217.0,242.6,-12.2,-10.4,0.1,36677.0,27425.0,-25.2,13,同月非窗口日
亡人节,2017-11-02,139.6,243.0,126.6,117.0,152.6,-9.3,-16.2,9.3,22539.0,23826.0,5.7,23,节前45-8日非窗口
狂欢节,2017-02-28,63.4,59.0,47.3,53.0,77.0,-25.5,-16.5,21.4,10525.0,11992.0,13.9,20,同月非窗口日
蒂拉登特斯日,2017-04-21,82.9,76.8,65.1,66.0,96.3,-21.4,-20.4,16.2,14218.0,10048.0,-29.3,30,节前45-8日非窗口
独立日,2017-09-07,134.4,138.3,136.7,97.0,155.4,1.7,-27.8,15.6,21982.0,19097.0,-13.1,16,同月非窗口日
耶稣受难日,2018-03-30,237.0,225.9,209.0,163.0,225.1,-11.8,-31.2,-5.0,37859.0,25993.0,-31.3,22,同月非窗口日
蒂拉登特斯日,2018-04-21,227.5,226.6,235.4,154.0,239.9,3.5,-32.3,5.4,37298.0,22310.0,-40.2,23,节前45-8日非窗口
耶稣受难日,2017-04-14,82.9,76.8,70.3,47.0,67.9,-15.2,-43.3,-18.1,14218.0,7951.0,-44.1,30,节前45-8日非窗口
圣诞节,2017-12-25,214.8,177.8,136.0,86.0,120.4,-36.7,-60.0,-43.9,33458.0,12059.0,-64.0,16,同月非窗口日
元旦,2018-01-01,236.6,228.0,122.4,72.0,222.3,-48.2,-69.6,-6.0,35930.0,8246.0,-77.1,23,同月非窗口日
元旦,2017-01-01,30.7,27.8,0.0,0.0,6.3,-100.0,-100.0,-79.5,5384.0,0.0,-100.0,23,同月非窗口日
